Question;Answer1;Answer2;Answer3;Correct_answer
1)"Python" это?;a)Язык программирования;b)Язык разметки;c)Фреймворк;a)Язык программирования
2)Автор языка "Python" назвал его в честь...;a)Британского комедийного шоу "Monty Python";b)Неядовитой змеи семейства "Python";c)Просто рандомные буквы;a)Британского комедийного шоу "Monty Python"
3)В каком году был разработан язык программирования "Python"?;a)1919;b)1989;c)1991;c)1991
4)While это?;a)Модуль;b)Цикл;c)Переменная;b)Цикл
5)Объект принимающий аргументы и возвращающий значение- это?;a)Переменная;b)Функция;c)def;b)Функция
6)С помощью какого символа создается коментарий?;a)@;b)^;c)#;c)#
7)If это?;a)Оператор;b)Модуль;c)Тип данных;a)Оператор
8)Каким будет результат этой строки - >>> len = ("Удачи на Final exem!!!");a)29;b)22;c)31;b)22
9)Какой из этих вариантов является допустимым именем переменной в "Python"?;a)bla_bla;b)1_bla_bla;c)bla bla;a)bla_bla
10)Какой индекс у элемента "It" - route = ["It", "Low", "Tour", "Ped"];a)2;b)1;c)0;c)0
11)Что делает функция "append()"?;a)Возвращает количество элементов в строке/списке;b)Удаляет элемент из списка;c)Добавляет элемент в список;c)Добавляет элемент в список
12)Что произойдет, если заменить оператор "break" в коде на "continue"?;a)Программа будет выполняться вечно;b)Нужно будет ввести  "quit" два раза, чтобы остановить программу;c)Ничего не произойдет;a)Программа будет выполняться вечно
13)Какая конструкция используется для перебора элементов списка?;a)Присваивание переменной;b)Оператор if;c)Циклы;c)Циклы
14)"delimiter" - это?;a)Разделитель полей;b)Символ цитирования;c)Значение определяющее перенос строки;a)Разделитель полей
15)Сколько методов существует для создния словаря?;a)2;b)1;c)3;c)3
16)Что делает функция "append()"?;a)Возвращает количество элементов в строке/списке;b)Удаляет элемент из списка;c)Добавляет элемент в список;c)Добавляет элемент в список
17)Что произойдет, если заменить оператор "break" в коде на "continue"?;a)Программа будет выполняться вечно;b)Нужно будет ввести  "quit" два раза, чтобы остановить программу;c)Ничего не произойдет;a)Программа будет выполняться вечно
18)Какая конструкция используется для перебора элементов списка?;a)Присваивание переменной;b)Оператор if;c)Циклы;c)Циклы
19)"delimiter" - это?;a)Разделитель полей;b)Символ цитирования;c)Значение определяющее перенос строки;a)Разделитель полей
20)Сколько методов существует для создния словаря?;a)2;b)1;c)3;c)3